authors,title,author1,author2,organization,year,journal,keyFindings,metaDescription,onePageSummary,link,pillar,subpillar,solution,subcategory,file
Anthony et al.,Forest tree growth is linked to mycorrhizal fungal composition and function across Europe,"Anthony, Mark A. ","Crowther, Thomas W.",ETH Zürich,2022,The ISME Journal,"Most trees form symbiotic relationships with ectomycorrhizal fungi (EMF), which influence access to growth-limiting soil resources. Mesocosm experiments show that EMF species differentially affect plant development. This study combined molecular EMF surveys with forest inventory data from 15 European countries. ​These findings suggest that EMF composition is a strong bio-indicator of underlying drivers of tree growth and/or that variation of forest EMF communities causes differences in tree growth. Fast tree growth was associated with EMF communities favoring inorganic nitrogen acquisition and contact exploration types.","Ectomycorrhizal fungi (EMF) symbiosis affects tree growth and soil resource access; forest fungi composition can influence tree growth, favoring inorganic nitrogen aquisition (Anthony et al).",,https://www.nature.com/articles/s41396-021-01159-7,Nature Conservation,Land Conservation,,,
Uludere-Aragon et al.,Sustainable land use and viability of biojet fuels,"Uludere-Aragon, Nazli Z. ","Parker, Nathan C.",Environmental Defense Fund,2022,Nature Sustainability,"Decarbonizing aviation with low-carbon liquid fuels is crucial as large aircraft electrification is currently unviable. This study integrates land-use assessment, hydroclimate and ecosystem modeling, and economic optimization to evaluate biojet-fuel potential from cellulosic feedstocks in the U.S. ​Planting 23.2 million hectares of marginal lands with miscanthus could meet the projected 2040 jet-fuel demand at an average $4.1 per gallon. This land conversion in the Midwest delivers productive biomass, regional cooling without soil moisture loss, and the lowest greenhouse gas emissions at a $50 per tCO2e carbon price. Integrated approaches are essential for a realistic sustainability assessment of bio-based alternative feedstocks.",Low-carbon liquid fuels can decarbonize aviation. Planting 23.2M hectares of miscanthus on marginal lands meets 2040 jet-fuel demand at $4.10/gallon with low GHG emissions (Aragon et al).,,https://www.nature.com/articles/s41893-022-00990-w,Energy Transition,Renewable Transport,Sustainable Biofuel,,
Arneth et al.,"Climate Change and Land, Chapter 1: Framing and Context","Arneth, Almut","Deton, Fatima",IPCC,2019,IPCC,"The use of land provides the basis for human life and well-being through supplying food, freshwater, and ecosystem services. However, the current use and influence by humans of land is unprecedented, and climate change along with overexploitation of resources has serious consequences for human society as well as biodiversity and ecosystem health. There is urgent need for a combination of rapid GHG emission reductions and land-based strategies to stop overexploitation to mitigate climate change. ","Land use is essential for food, water, and ecosystems is being overexploited. Combined GHG cuts and land strategies are urgently needed for climate change mitigation (Arneth et al).
",,https://www.ipcc.ch/site/assets/uploads/2019/08/2b.-Chapter-1_FINAL.pdf,Climate Change,Climate Impacts,,,
Ashgari et al.,Quantitative analysis of the nutritional components in leaves and seeds of the Persian Moringa peregrina..,"Asghari, Gholamreza ","Palizban, Abbasali",Isfahan Uiniversity of Medical Sciences,2015,Pharmacognosy Research,"The study of Persian Moringa peregrina investigated its nutritional content in leaves and seeds from arid regions of Iran. ​Using atomic adsorption and flame emission spectrophotometer to analyze the leaves for nutrients, it was found that M. peregrina contains substantial amounts of Vitamin A (7-25 mg/100 g), Vitamin C (14-83 mg/100 g), Calcium (765-1165 mg/100 g), and Potassium (572-900 mg/100 g).This study revealed that daily use of these leaves and seeds can provide the recommended dietary allowance for these nutrients. ","A study of Persian Moringa peregrina in Iran's arid regions found its leaves and seeds are rich in vitamins A, C, calcium, and potassium, meeting recommended daily dietary needs (Asghari et al).",,https://www.phcogres.com/article/2015/7/3/1041030974-8490157968,Regenerative Agriculture,Regenerative Croplands,Perennial/Superfoods,,
Asner et al.,Airborne laser-guided imaging spectroscopy to map forest trait diversity and guide conservation,"Asner, G. P.","Martin, R. E.",Carnegie Institution for Science (Stanford),2017,Science,"Functional biogeography addresses the gap between field biodiversity data and satellite Earth system studies that support conservation efforts to protect more species and their contributions to ecosystem functioning. Airborne laser-guided imaging spectroscopy and environmental modeling was employed to create detailed forest canopy trait maps in the Peruvian Andes-to-Amazon biodiversity hotspot. Seven canopy traits displayed variation influenced by geology, topography, hydrology, and climate, revealing distinct beta functional diversity patterns. Notably, 53% of these functionally unique forests offer new conservation opportunities. Mapping functional diversity enhances our understanding of biosphere conservation amid land use and climate change.","Airborne spectroscopy reveals Andes-to-Amazon forest canopy traits, showing diversity patterns shaped by geology, topography, and hydrology with 53% in conservation areas (Asner et al).",,https://science.sciencemag.org/content/355/6323/385,Nature Conservation,Land Conservation,,,
Atwood et al.,Predators help protect carbon stocks in blue carbon ecosystems,"Atwood, Trisha B. ","Connolly, Rod M. ",University of Queensland; Utah State University,2015,FTU Digital Commons,"Unsustainable predator harvesting disrupts ecosystems, impacting carbon cycling and climate mitigation. Vegetated coastal habitats, rich in ""blue carbon,"" rely on intact predator populations for carbon capture, accumulation, and preservation. While predator effects on these ecosystems remain understudied, evidence highlights their critical role, calling for urgent research and improved policies to protect predators and mitigate climate change.","Predator loss disrupts carbon cycling in coastal habitats, risking blue carbon reserves. Urgent research, stronger policies are crucial for mitigation (Atwood et al).",,https://digitalcommons.fiu.edu/cgi/viewcontent.cgi?article=1408&context=fce_lter_journal_articles,Nature Conservation,,,,
Badgley et al.,Systematic over-crediting of forest offsets,"Badgley, Grayson","Freeman, Jeremy",CarbonPlan,2021,CarbonPlan,"Carbon offsets are widely utilized to mitigate greenhouse gas emissions. However, because offsets allow pollution to continue, they must reflect real climate benefits. California's forest carbon offsets program, valued at over $2B, was evaluated to verify its climate benefit claims. ​Findings reveal significant crediting errors, with 29% of offsets over-credited, equating to 30 MtCO2e or roughly $410M, indicating substantial inefficacy in real climate benefits.","Carbon offsets mitigate greenhouse gas emissions, but crediting errors in offsets allows pollution to continue in California where 29% over-credited climate benefits (Badgley et al).",,https://carbonplan.org/research/forest-offsets-explainer,Nature Conservation,Land Conservation,,,
Bahadur et al.,When too much isn't enough: Does current food production meet global nutritional needs?,"Bahadur, Krishna","Dias, Goretty M.","Department of Geography, Environment and Geomatics, University of Guelph",2018,PLOS One,"Sustainably feeding future generations is a critical challenge of the 21st century. Scholars suggest increased agricultural production, technological investments, dietary changes, and reduced food waste, but current global production overemphasizes grains, fats, and sugars, lacking sufficient fruits, vegetables, and protein. Correcting this imbalance could reclaim 51 Mha of arable land but would increase overall agricultural land by 407 Mha and raise greenhouse gas emissions. To achieve a nutritionally balanced diet while conserving land and reducing emissions, the focus must shift towards producing and consuming more fruits, vegetables, and plant-based proteins, supporting habitat protection and Sustainable Development Goals.","Feeding future generations is a challenge of the 21st century. Scholars suggest increased agricultural production, technological investments, dietary changes, and reduced food waste. (Bahadur et al).",,https://doi.org/10.1371/journal.pone.0205683,Regenerative Agriculture,Regenerative Croplands,Crop Optimization,,
Balch et al.,Human-started wildfires expand the fire niche across the United States,"Balch, Jennifer K. ","Bradley, Bethany A. ",Earth Lab (UC Boulder),2017,PNAS,"Economic and ecological wildfire costs in the U.S. have surged with human activity playing a critical role. Analyzing over 1.5M wildfire records (1992-2012), humans ignited 84% of fires, burning 44% of affected areas, and prolonged fire seasons threefold. Human-started fires were dominant (>80% of ignitions) in over 5.1M km², the vast majority of the U.S. whereas lightning-caused fires' were dominant in only 0.7M km² in sparsely populated areas. ","Analyzing over 1.5M wildfire records, human activity surges wildfire costs, igniting 84% of fires, burning 44% of affected areas, and prolonging fire seasons threefold (Balch et al).",,http://www.pnas.org/content/pnas/early/2017/02/21/1617394114.full.pdf,Climate Change,Climate Impacts,Wildfires,,
Baldi et al.,Opportunities drive the global distribution of protected areas,"Baldi, Germán","Texeira, Marcos",Instituto de Matemática Aplicada San Luis (Argentina),2017,PeerJ,"Global and regional distributions were analyzed to understand whether protection areas target a balanced representation of biophysical environments, preferred conditions, or conservation opportunities. Using histograms, global protection was found to be mainly driven by isolation and low population density, with secondary tourism and border influences. ​Results indicate that protection at a global level is primarily driven by the opportunities provided by isolation and a low population density. Preferences play a secondary role, with a bias towards tourism attractiveness and proximity to international borders.","Protected areas globally are primarily driven by isolation and low population density, with tourism and border influences coming in second (Baldi et al).",,https://peerj.com/articles/2989/,Nature Conservation,Land Conservation,Protected Lands,,
Balmford et al.,Realizing the social value of impermanent carbon credits,"Balmford, Andrew","Keshav, Srinivasan",University of Cambridge,2023,Nature Climate Change,"Efforts to mitigate climate change by conserving natural habitats face challenges in long-term impact quantification. This study presents a flexible framework to estimate the net social benefit of impermanent nature-based interventions by: (1) defining impact permanence via additionality over time; (2) incorporating risk-averse estimation of future carbon gain reversals; and (3) employing post-credit monitoring to correct forecasting errors. This framework incentivizes the protection of credited carbon and allows for comparable assessments of diverse carbon projects, suggesting competitive pricing for nature-derived credits despite impermanence.",Efforts to mitigate climate change by conserving natural habitats face challenges in long-term impact quantification (Balmford et al).,,https://www.nature.com/articles/s41558-023-01815-0,Nature Conservation,,,,
Bamber et al.,Ice sheet contributions to future sea level rise from structured expert judgement,"Bamber, Jonathan L.","Oppenheimer, Michael",Technical University of Munich,2019,PNAS,"Despite advancements in modeling and observation, ice sheet models' predictive capabilities remain limited. ​Ice sheets are the largest uncertainty in sea-level rise (SLR) projections. A study reveals expert uncertainty, particularly due to dynamic ice effects. Under a +2°C scenario, median and 95th percentile SLR estimates are 26 cm and 81 cm by 2100 and 51 cm and 178 cm for a +5°C scenario. Including thermal expansion and glaciers, total SLR may exceed 2 m by 2100. SLR of 7.5 m is possible by 2200 under +5°C due to Antarctic ice instabilities. Process correlations and tail dependences increase estimates by 15%.","Predictive limitations in ice sheet models and dynamic ice effects lead to significant SLR uncertainty. By 2100, estimates range from 26-178 cm; by 2200, up to 7.5 m (Bamber et al).",,https://doi.org/10.1073/pnas.181720511,Climate Change,Climate Impacts,Sea Level Rise,,
Barry et al.,Pumas as ecosystem engineers: ungulate carcasses support beetle assemblages in the Greater Yellowstone Ecosystem,"Barry, Joshua M. ","Elbroch, L. Mark",Pace University,2018,Oecologia,"Predators abandoning their prey may be ecosystem engineers that create habitat for carrion-dependent invertebrates that utilize carcasses during critical life-history periods. Beetle assemblages at 18 puma-killed carcasses and control sites were researched to measure beetle utilization. ​The study found significant increases in beetle abundance, species richness, and diversity at carcasses, with a large effect lasting 8 weeks. The research underlines the important role apex predators play in shaping beetle communities by creating carrion ""habitats"" and suggests potential ecological consequences if these predators decline or disappear. ","Beetle abundance, species richness, and diversity rose at 18 puma-killed carcasses over 8 weeks, highlighting apex predators' critical ecological role (Barry et al).",,https://link.springer.com/article/10.1007/s00442-018-4315-z?_ga=2.168076453.568383898.1565204967-908268909.1565204967,Nature Conservation,Land Conservation,Conserved Lands,Land Habitats,
Baruch-Mordo et al.,From Paris to practice: sustainable implementation of renewable energy goals,"Baruch-Mordo, S.","Kiesecker, J. M. ",TRAFFIC,2019,Environmental Research Letters,"The Paris climate agreement and sustainable development goals demonstrate an international commitment to mitigating climate change, increasing energy access, and maintaining biodiversity. Achieving these goals necessitates rapid renewable energy expansion, which risks conflicting with land conservation. This study assesses whether emission reduction commitments can be met by developing renewables on already converted lands with lower biodiversity and carbon values. ​The world has 19x the required energy targets on converted lands, and most countries, including the top ten emitters, can meet the Paris agreement goals. Proactive planning and incentives are crucial to avoid exacerbating other environmental challenges.",The Paris agreement & SDGs require rapid renewable energy expansion with land conservation risks. Converted lands can meet energy targets if well-planned (Baruch-Mordo et al).,,https://iopscience.iop.org/article/10.1088/1748-9326/ab39ae,Energy Transition,Renewable Power,,,
Basso et al.,Yield stability analysis reveals sources of large-scale nitrogen loss from the US Midwest,"Basso, Bruno","Shuai, Guanyuan ",Michigan State University,2019,Scientific Reports,"Loss of reactive nitrogen (N) from Midwest U.S. agricultural fields significantly contributes to the Gulf of Mexico hypoxic zone. Using satellite imagery and crop data, it was found that 46% of fields had high yield, and nitrogen use efficiency (NUE) ranged from 48% in low-yield fields to 88% in high-yield fields. An estimated regional average N loss was 1.12 Tg N y−1, equating to $485M in fertilizer value, 79 TJ of energy, and 6.8 MMT CO2 emissions. ​Aligning N fertilizer application with yield stability can reduce N losses, enhancing corn cropping sustainability.",Midwest U.S. nitrogen loss from agricultural fields contributes to Gulf of Mexico hypoxia (Basso et al).,,https://www.nature.com/articles/s41598-019-42271-1,Regenerative Agriculture,Regenerative Croplands,Sustainable Fertilizer,,
Bauer et al.,Mapping GHG emissions and prospects for renewable energy in the chemical industry,"Bauer, Fredric","Tilsted, Joachim P. ",Lund University,2023,Current Opinion in Chemical Engineering,"The chemical industry has the highest energy demand among industrial sectors due to its reliance on fossil fuels for both energy and feedstock. Key processes like olefin and aromatic production are extremely energy-intensive and generate scope 1, 2, and upstream scope 3 emissions across the lifecycle. This industry's demand for thermal and electric energy is significant globally, influencing modern fossil energy use. ​Addressing emissions from the chemical sector is crucial for meeting climate goals, given the industry's interlinked global value chains and the challenges of assessing downstream scope 3 emissions. This paper explores the industry's energy use, emissions, and prospects for reducing GHGs through renewable energy.","The chemical industry relies on fossil fuels for energy and feedstock, creating high energy demand, GHG emissions (scopes 1-3), and influencing global energy use (Bauer et al).",,https://doi.org/10.1016/j.coche.2022.100881,Energy Transition,Energy Efficiency,Industries & Services,Chemicals - Inorganic,
Bayraktarov et al.,The cost and feasibility of marine coastal restoration,"Bayraktarov, Elisa","Saunders, Megan I.",University of Queensland,2015,Ecological Applications,"Coastal land-use change has led to marine ecosystem degradation, necessitating restoration. An analysis of 235 studies with 954 observations evaluated the cost, survival, and techniques of restoring various marine ecosystems. The median restoration cost is $80,000 per hectare. Coral reefs and seagrass are costly, while mangroves are larger and cheaper to restore. Most projects are in Australia, Europe, and the USA, with lower costs in developing countries. Median organism survival is 64.5% for coral reefs and 38.0% for seagrass. ​Restoration success relies on ecosystem, site, and methods, not spending. Enhanced investment in technology and large-scale restoration is crucial.","Coastal land-use change degrades marine ecosystems; 235 studies show median restoration cost $80,000/ha, with coral reefs and seagrass costlier than mangroves (Bayraktarov et al).",,https://doi.org/10.1890/15-1077,Nature Conservation,Ecosystem Restoration,Coral/Shore Restoration,,
Bayraktarov et al.,"Motivations, success, and cost of coral reef restoration","Bayraktarov, Elisa","Stewart-Sinclair, Phoebe J. ",University of Queensland,2019,Restoration Ecology,"​Coral reef restoration is crucial for tropical marine conservation, yet its motivations, success, and costs require further understanding. This review synthesizes data from scientific and gray literature, noting that projects primarily aim to expand ecological knowledge and refine techniques, with key variables being coral growth, productivity, and survival. Median project costs are $400,000/ha, and restored corals show a 60.9% survival rate. Projects typically span 1-2 years and cover small areas (0.01 ha). To enhance findings, surveying unpublished practitioners' experiences is recommended. This data is vital for guiding research in coral reef restoration.","Coral reef restoration's motivations, success and costs are analyzed aiming to expand ecological knowledge and refine techniques focusing on growth, productivity, and survival (Bayraktarov et al).",,https://doi.org/10.1111/rec.12977,Nature Conservation,Ecosystem Restoration,Coral/Shore Restoration,,
Berns et al.,A Blueprint for the Energy Transition,"Berns, Maurice ","Herhold, Patrick ",BCG,2023,BCG,"The energy transition required to limit global warming to 1.5°C is unprecedented in speed and scale. Renewables must dominate energy by 2050, reaching 70% of primary energy in the IEA Net Zero scenario. Current policies are insufficient, risking 2.7°C warming by 2100. Accelerating the transition demands policy reforms, low-carbon technology scaling, and public-private collaboration. Success promises expanded electricity access for 775 million people and economic transformation. Failure threatens environmental and human well-being. Immediate, coordinated action is essential to create a sustainable, resilient, and inclusive green economy.","To limit warming to 1.5°C, we must triple the speed of renewable adoption, align policies, and scale technologies for a sustainable, resilient future (Berns et al).",,https://www.bcg.com/industries/energy/energy-transition/blueprint#access-the-full-energy-transition-blueprint,,,,,
Beattie et al.,"Even after armed conflict, the environmental quality of Indigenous Peoples' lands in biodiversity hotspots surpasses that of non-Indigenous lands","Beattie, Madeline ","Fa, Julia E.",Conservation International,2023,Biological Conservation,"Indigenous Peoples' lands encompass over 20% of the world's terrestrial surface and exhibit high biodiversity. Despite cultural genocide, these lands often coincide with biodiversity hotspots, many of which experience significant conflict. Between 1950 and 2000, over 80% of armed conflicts occurred in biodiversity hotspots, which cover just 2.4% of the Earth's surface. Despite armed conflicts being more prevalent on Indigenous lands, these areas experience lower environmental damage and anthropogenic impacts. This resilience is attributed to Indigenous Peoples' deep connection to their lands and active defense of their territories. ","Indigenous lands cover over 20% of Earth's surface and align with biodiversity hotspots. Despite conflicts, these areas sustain lower environmental damage due to Indigenous stewardship (Beattie et al).",,https://doi.org/10.1016/j.biocon.2023.110288,,,,,
Bednar et al.,Operationalizing the net-negative carbon economy,"Bednar, Johannes","Obersteiner, Michael",IIASA,2021,Nature,"​The remaining carbon budget to limit global warming to 1.5°C will likely be depleted this decade, necessitating net-negative emissions to offset carbon debt. Proposed intertemporal instruments include carbon taxes and emission trading to finance net-negative carbon economies. Carbon Removal Obligations (CROs) incentivize emitters to repay carbon debt, and related interest payments encourage ambitious near-term decarbonization while mitigating the need for aggressive future Carbon Dioxide Removal (CDR). CROs are essential for achieving climate targets and ensuring intergenerational equity in mitigation efforts.","The 1.5°C carbon budget might deplete this decade, requiring net-negative emissions; CROs and carbon pricing will drive near-term decarbonization (Bednar et al).",,https://www.nature.com/articles/s41586-021-03723-9,,,,,
Beerling et al.,"Farming with crops and rocks to address global climate, food and soil security","Beerling, David J. ","Leake, Jonathan R. ",University of Sheffield,2018,Nature Plants,"Immediate reduction of atmospheric CO2 from energy generation and adoption of CO2 removal strategies can moderate future climate change. ​Adding crushed, fast-reacting silicate rocks to croplands is a promising CO2 removal method. It offers enhanced crop production, pest and disease mitigation, and improved soil health. Croplands are prepared for frequent rock dust applications, enabling swift, large-scale adoption and financial incentives. Nonetheless, challenges include field-scale efficacy assessments, environmental monitoring, cost-effective rock sourcing, potentially through silicate waste recycling, and addressing public perception, trust, and acceptance.
","Fast-reacting silicate rocks added to croplands can reduce CO2, pest and disease mitigation, and enhance soil health and crop yields (Beerling et al).",,https://www.nature.com/articles/s41477-018-0108-y,,,,,
Begum et al.,Model Based Regional Estimates of Soil Organic Carbon Sequestration and Greenhouse Gas Mitigation Potentials from Rice Croplands in Bangladesh,"Begum, Khadiza","Kuhnert, Matthias ",,2018,Land,"Rice production in Asia is expected to rise, potentially increasing greenhouse gas (GHG) emissions from paddy fields. A study using the DayCent model in Bangladesh (1996-2015) assessed mitigation strategies. Integrated management, involving reduced water use, tillage with residue management, and optimized fertilizer and manure use, achieved an average annual GHG removal of −2.43 t CO2-eq. ha−1 and reduced yield-scaled emissions intensity by −0.55 to −0.65 t CO2-eq. t−1 yield. SOC stocks increased by 1.7% annually, significantly outperforming the ""4 per mille"" initiative targets.","Integrated practices like water reduction, residue management, and optimized fertilizer use may curb greenhouse gas emissions from rising Asian rice production (Begum et al).",,https://doi.org/10.3390/land7030082,,,,,
P. Beier,Minimum width of a wildlife corridor or linkage,"Beier, Paul",,Center for Large Landscape Conservation,2017,Conservation Biology,"A conservation corridor is a continuous stretch of natural land that connects protected areas, facilitating wildlife movement, gene flow, and demographic interactions in landscapes threatened by urbanization, agriculture, or industry. These corridors are crucial for maintaining biodiversity, especially where human development limits movement. While over 200 corridors have been designed globally, a major knowledge gap remains regarding optimal corridor width. Scientific studies lack consensus, though a general guideline suggests corridors should be at least 2 km wide. Rigorous, long-term studies are needed to determine effective width, but immediate conservation efforts rely on practical experience and ecological inference.","Conservation corridors link natural areas, aiding wildlife movement. A 2 km width is advised, but research on optimal width remains insufficient.",,https://doi.org/10.1111/cobi.13256,,,,,
